Main Sector,Source,Source Category,Units,FY 2006 Consumed,FY 2006 tCO2e,FY 2006 Source MMBtu,FY 2007 Consumed,FY 2007 tCO2e,FY 2007 Source MMBtu,FY 2008 Consumed,FY 2008 tCO2e,FY 2008 Source MMBtu,FY 2009 Consumed,FY 2009 tCO2e,FY 2009 Source MMBtu,FY 2010 Consumed,FY 2010 tCO2e,FY 2010 Source MMBtu,FY 2011 Consumed,FY 2011 tCO2e,FY 2011 Source MMBtu,FY 2012 Consumed,FY 2012 tCO2e,FY 2012 Source MMBtu,FY 2013 Consumed,FY 2013 tCO2e,FY 2013 Source MMBtu,FY 2014 Consumed,FY 2014 tCO2e,FY 2014 Source MMBtu,FY 2015 Consumed,FY 2015 tCO2e,FY 2015 Source MMBtu,FY 2016 Consumed,FY 2016 tCO2e,FY 2016 Source MMBtu,FY 2017 Consumed,FY 2017 tCO2e,FY 2017 Source MMBtu,FY 2018 Consumed,FY 2018 tCO2e,FY 2018 Source MMBtu,FY 2019 Consumed,FY 2019 tCO2e,FY 2019 Source MMBtu,FY 2020 Consumed,FY 2020 tCO2e,FY 2020 Source MMBtu,FY 2021 Consumed,FY 2021 tCO2e,FY 2021 Source MMBtu,FY 2022 Consumed,FY 2022 tCO2e,FY 2022 Source MMBtu,FY 2023 Consumed,FY 2023 tCO2e,FY 2023 Source MMBtu,2006 - 2023 % change Consumed,2006 - 2023 % change tCO2e,2006 - 2023 % change Source MMBtu
#2 fuel oil,#2 fuel oil,Buildings,liter,55453467.36,150792.5,2046392.86,58388761.08,158774.33,2154713.66,50597654.14,137588.27,1867199.35,47907306.34,130272.51,1767917.76,41250592.96,112171.17,1522265.84,45342312.38,123297.62,1673262.08,38076584.51,103540.21,1405135.77,46530738.06,126529.26,1717118.42,56810222.06,154481.87,2096461.02,65570977.16,178304.66,2419758.15,35906665.26,97639.63,1325059.49,41616661.11,113166.6,1535774.81,47273452.86,128548.9,1744526.74,44179329.31,120135.17,1630344.65,34761539.85,94525.73,1282801.06,39293452.46,106849.19,1450041.71,46794821.17,127247.37,1726863.85,44552835.03,121150.83,1644128.09,-19.66,-19.66,-19.66
#4 fuel oil,#4 fuel oil,Buildings,liter,32327540.04,94212.58,1259929.24,30850790.41,89908.86,1202374.59,31184590.09,90881.66,1215384.06,33116971.52,96513.23,1290696.43,29648516.83,86405.06,1155517.34,27986921.78,81562.65,1090758.56,28023155.08,81668.25,1092170.71,39674869.46,115624.99,1546283.08,62356896.28,181727.52,2430289.37,68130974.93,198555,2655327.54,47895660.19,139582.95,1866679.08,51721023.43,150731.26,2015768.28,53259188.29,155213.95,2075716.51,51563311.89,150271.64,2009621.65,39837065.89,116097.69,1552604.5,43629464.93,127149.92,1700408.95,45968361.73,133966.2,1791564.8,31124069.83,90705.29,1213025.35,-3.72,-3.72,-3.72
#6 fuel oil,#6 fuel oil,Buildings,liter,74678168.89,224200.71,2996839.38,68880767.5,206795.6,2764189.31,77083879.57,231423.2,3093380.69,77960411.15,234054.74,3128555.95,68436109.79,205460.64,2746345.17,66745607.82,200385.37,2678505.23,48602096.33,145914.46,1950405.03,43186089.77,129654.38,1733060.36,26944891.95,80894.64,1081300.12,8677803.39,26052.72,348240.77,1204309.9,3615.61,48329.03,162394.17,487.54,6516.89,678285.26,2036.37,27219.63,353663.47,1061.78,14192.54,,,,,,,,,,,,,-100,-100,-100
Biodiesel,Biodiesel,Buildings,liter,,,,10790.66,0.12,368.44,,,,60122.61,0.68,2052.82,477915.61,5.43,16317.9,239402.35,2.72,8174.13,394616.36,4.49,13473.74,6595331.48,74.96,225190.27,5764899.42,65.52,196836.09,6327625.55,71.92,216049.75,4444206.85,50.51,151742.51,5072523.38,57.65,173195.68,6576984.83,74.75,224563.85,6518417.14,74.09,222564.12,5307366.11,60.32,181214.12,6013278.6,68.35,205316.72,6773534.84,76.99,231274.83,5704965.78,64.84,194789.72,100,100,100
Electricity,Electricity,Buildings,kWh,2885149152.75,1212390.74,25102528.72,2931797140.07,1243893.8,25508394.2,2976789886.04,1133503.75,25899858.08,3270092703.31,1094535.58,28451768.57,3011090266.72,1028739.26,26198291.97,3094612443.64,958805.08,26924985.03,2966366598.34,965898.89,25809169.23,2925852675.83,872493.62,25456673.79,2856820914.57,933187.52,24856056.05,2853686333.77,910603.86,24828783.32,2803303366,899798.95,24390421.27,2846121832.59,797885.49,24762967.62,2828544418.23,869748.18,24610036.93,2742572888.11,794087.48,23862029.9,2519983854.14,795012.53,21925371.99,2432857020.82,821905.09,21167315.8,2647827089.76,978897.69,23037684.38,2595190759.62,959896.21,22579803.12,-10.05,-20.83,-10.05
Kerosene,Kerosene,Buildings,liter,,,,,,,,,,,,,37597.46,101.15,1391.28,62.54,0.17,2.31,37252.23,100.22,1378.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Natural gas,Natural gas,Buildings,GJ,9898132.78,499064.42,9850699.32,10695415.89,539263.48,10644161.72,10291799.81,518913.13,10242479.83,10526881.34,530765.95,10476434.82,10385586.04,523641.84,10335816.62,11335739,571548.6,11281416.29,8906812.44,449081.99,8864129.55,10178755.33,513213.42,10129977.08,10574876.77,533185.89,10524200.24,11556070.54,582657.73,11500691.97,10787474.34,543905.07,10735779.01,10272974.44,517963.95,10223744.67,11183005.77,563847.78,11129414.98,12282079.02,619263.12,12223221.3,11595596.81,584650.65,11540028.83,12169233.02,613573.42,12110916.07,12238534.69,617067.61,12179885.64,11080985.14,558703.9,11027883.26,11.95,11.95,11.95
Propane,Propane,Buildings,liter,4086925.09,6093.87,99310.2,105823.85,157.79,2571.47,,,,,,,7273964.53,10845.96,176753.64,4605607.92,6867.26,111913.93,3850791.28,5741.78,93572.27,,,,122187.88,182.19,2969.1,121878.8,181.73,2961.59,81962.27,122.21,1991.64,115429.25,172.11,2804.87,106449.04,158.72,2586.66,77912.67,116.17,1893.24,93860.54,139.95,2280.76,107139.88,159.75,2603.44,106063.19,158.15,2577.28,87534.78,130.52,2127.05,-97.86,-97.86,-97.86
Steam,Steam,Buildings,kg,725238294.45,96585,2290872.48,798380073.8,110310.58,2521911.7,800027657.21,105915.73,2527116.06,796887204.61,113829.42,2517196.04,784317462.84,96254.86,2477490.92,842578559.59,103493.97,2661525.25,700343870.67,72046.72,2212236.32,741205372.12,77837.77,2341309.06,835311432.07,92517.1,2638569.95,882446598.7,94553.19,2787459.85,775306116.68,76797.15,2449026.01,766251953.44,70665.2,2420425.84,787615337.47,83166.74,2487908.2,773628725.57,78821.45,2443727.49,665904487.05,55697.05,2103449.68,635250226.97,53415.97,2006619.44,607959645.67,57650.15,1920414.34,599844086.99,51764.87,1894779.03,-17.29,-46.4,-17.29
Gasoline,Gasoline,Transportation,liter,51838822.79,122608.06,1728913.89,53019478.59,125400.52,1768290.79,53875880.84,127426.06,1796853.28,53921715.89,127534.47,1798381.95,51727310.35,122344.31,1725194.76,45445998.59,107487.89,1515702.21,43741364.46,103456.12,1458849.73,44828534,106027.47,1495108.7,38864851.93,91922.3,1296209.65,40867962.05,96660.01,1363016.82,40871033.21,96667.28,1363119.24,42034174.84,99418.32,1401912.02,42103618.22,99582.56,1404228.07,41905608.06,99114.23,1397624.09,39388141.69,93159.98,1313662.26,34380915.68,81316.99,1146662.66,33605858.4,79483.84,1120813.17,32716667.78,77380.75,1091157.13,-36.89,-36.89,-36.89
